"Address","Packets","Bytes","Packets A › B","Bytes A › B","Packets B › A","Bytes B › A"
"00:f4:b9:04:34:f7",1,56,1,56,0,0
"01:00:5e:00:00:fc",16,1032,0,0,16,1032
"01:00:5e:7f:ff:fa",161,40174,0,0,161,40174
"04:4b:ed:5e:c3:3a",14,1356,14,1356,0,0
"08:ec:a9:80:9c:46",4,1428,4,1428,0,0
"0c:d6:bd:b5:22:f5",23,1288,23,1288,0,0
"10:2f:6b:b4:0a:ec",46,5514,46,5514,0,0
"10:30:47:7e:b6:7e",4,224,4,224,0,0
"2c:29:97:04:5e:b0",42,3947,42,3947,0,0
"30:75:12:36:44:b5",5,594,5,594,0,0
"33:33:00:00:00:01",5,430,0,0,5,430
"33:33:00:00:00:0c",188,51314,0,0,188,51314
"33:33:00:01:00:02",14,2072,0,0,14,2072
"33:33:00:01:00:03",16,1352,0,0,16,1352
"33:33:ff:36:44:b5",1,78,0,0,1,78
"33:33:ff:94:5e:d0",1,78,0,0,1,78
"33:33:ff:a5:fe:be",1,78,0,0,1,78
"33:33:ff:ca:f6:32",1,78,0,0,1,78
"33:33:ff:ce:e9:15",2,156,0,0,2,156
"34:12:98:74:30:02",17,2096,17,2096,0,0
"38:2d:e8:54:4e:8e",7,2192,7,2192,0,0
"40:f3:08:c0:3f:9c",10,2936,10,2936,0,0
"44:74:6c:cd:8a:32",6,1212,6,1212,0,0
"44:d4:e0:50:3f:5a",4,515,4,515,0,0
"4c:7c:5f:22:07:9b",8,734,8,734,0,0
"50:2e:5c:4f:2d:3b",6,1500,6,1500,0,0
"54:27:1e:20:3d:cf",99239,71774331,41271,4961513,57968,66812818
"54:40:ad:44:fc:68",2,418,2,418,0,0
"58:2a:f7:84:76:67",21,1176,21,1176,0,0
"58:2a:f7:85:5b:64",2,112,2,112,0,0
"58:2a:f7:85:9f:fc",21,1176,21,1176,0,0
"58:3f:54:e1:e2:97",3,770,3,770,0,0
"64:a6:51:af:29:9c",96,11432,96,11432,0,0
"6c:b7:f4:ac:4f:19",5,1654,5,1654,0,0
"74:e2:8c:37:6f:88",1,56,1,56,0,0
"78:4b:87:68:3e:26",2,712,2,712,0,0
"78:4b:87:ca:f6:32",8,2246,8,2246,0,0
"7c:01:91:d8:59:5c",1,56,1,56,0,0
"80:ea:96:16:94:eb",8,734,8,734,0,0
"84:38:38:90:3a:34",5,1174,5,1174,0,0
"84:8e:df:4c:b5:69",4,806,4,806,0,0
"84:8e:df:74:8a:03",3,469,3,469,0,0
"88:63:df:06:c9:b1",8,448,8,448,0,0
"88:c9:d0:ce:84:65",2,714,2,714,0,0
"98:fe:94:28:75:2d",36,3676,36,3676,0,0
"a0:18:28:c7:d4:3a",1,78,1,78,0,0
"a4:31:35:7b:d2:41",1,56,1,56,0,0
"a4:31:35:da:39:b7",1,56,1,56,0,0
"a4:c3:61:68:f7:15",25,2302,25,2302,0,0
"a8:8e:24:31:19:11",4,252,4,252,0,0
"a8:9f:ba:b1:05:d1",256,38070,190,23982,66,14088
"b4:30:52:95:e5:89",6,1027,6,1027,0,0
"b4:52:7e:6e:c2:43",6,1233,6,1233,0,0
"bc:6e:64:d9:8a:08",6,1504,6,1504,0,0
"bc:6e:64:ea:8e:75",9,1380,9,1380,0,0
"bc:f5:ac:d9:5f:f4",23,5006,23,5006,0,0
"c0:bd:d1:be:8d:8a",2,406,2,406,0,0
"cc:5d:4e:63:e6:5d",98737,71647415,57909,66789648,40828,4857767
"cc:fa:00:cc:7b:32",7,994,7,994,0,0
"d0:51:62:ad:89:b7",12,1026,12,1026,0,0
"d0:51:62:e4:1e:b1",7,392,7,392,0,0
"e0:2c:b2:12:ce:5b",4,1098,4,1098,0,0
"e0:63:e5:79:01:2e",24,3318,24,3318,0,0
"e0:b5:2d:89:6e:ea",22,2194,22,2194,0,0
"e0:c9:7a:a0:e6:01",4,510,4,510,0,0
"e4:2d:02:b9:43:59",8,1324,8,1324,0,0
"e4:40:e2:94:5e:d0",8,1906,8,1906,0,0
"f4:8e:92:30:b6:ef",25,1400,25,1400,0,0
"ff:ff:ff:ff:ff:ff",732,74511,0,0,732,74511
